state,yr,hcci_hl_cat,spend_pm,oop_pm,adj_price,adj_util_1k,price,util_1k,case_mix_index,spend_annual,oop_annual,util_annual,adj_util_annual,price_annual,adj_price_annual,case_mix_annual,spend_cmltv,oop_cmltv,util_cmltv,adj_util_cmltv,price_cmltv,adj_price_cmltv,case_mix_cmltv
GA,2016,Total,5440.541626,976.2211456,,,,,,0.059983756,0.041548401,-0.001586486,0.015027044,0.061832762,0.044197185,0.016985081,0.094352409,-0.028200611,-0.054601448,-0.043289521,0.159185492,0.145168956,0.013947315
GA,2017,Total,5668.095886,1013.717903,,,,,,0.041825663,0.038410105,0.006504963,0.00292523,0.035343009,0.039084786,-0.003577323,0.14012443,0.009126307,-0.048429416,-0.040401956,0.1997509,0.189722184,0.010345348
HI,2013,Total,3132.473267,378.706152,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
HI,2014,Total,2914.452637,363.0709038,,,,,,-0.069600157,-0.041285962,-0.054047843,-0.079535226,-0.007706221,0.02184333,-0.028259895,-0.069600157,-0.041285962,-0.054047843,-0.079535226,-0.007706221,0.02184333,-0.028259895
HI,2015,Total,3026.417114,388.9287148,,,,,,0.038416982,0.071219727,-0.004938952,0.013126816,0.039076124,0.023976568,0.017353935,-0.033857003,0.02699339,-0.057287083,-0.06617459,0.029336578,0.041995776,-0.011137063
HI,2016,Total,3299.469543,366.3896618,,,,,,0.090222999,-0.057951629,-0.057375839,-0.007828855,0.19050012,0.120771354,0.053355399,0.053311318,-0.032522552,-0.11199465,-0.081268491,0.221383853,0.161706838,0.041549763
HI,2017,Total,3625.890259,361.0052414,,,,,,0.098931268,-0.014695886,0.130528757,0.094814613,-0.003168296,0.023280315,-0.030303214,0.15751675,-0.046740487,-0.003444775,0.002603102,0.166915271,0.158374514,0.008843753
IA,2013,Total,4456.274414,770.3334885,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
IA,2014,Total,4636.680603,795.7475624,,,,,,0.040483635,0.032991003,-0.009886467,-0.001977186,0.051544199,0.043197231,0.008013607,0.040483635,0.032991003,-0.009886467,-0.001977186,0.051544199,0.043197231,0.008013607
IA,2015,Total,4862.142822,818.0946083,,,,,,0.048625782,0.028083084,0.01265878,0.008834433,0.035421647,0.039488606,-0.003809013,0.091077968,0.062000576,0.002612063,0.006658731,0.088868322,0.08461956,0.004144626
